Year,ERA,SO,W,W-L%,WHIP,ERA+,WAR
2018,0.488673,0.352386,0.023591,0.070193,0.236270,0.427555,0.517076
2017,0.550088,0.479192,0.296591,0.209861,0.790096,0.635472,0.485694
